일,날짜의 연도,최고기온
10일,1990,31.3
11일,1990,26.2
12일,1990,31.4
13일,1990,27.3
14일,1990,24.0
15일,1990,27.7
16일,1990,28.2
17일,1990,26.4
18일,1990,25.3
19일,1990,29.4
1일,1990,27.4
20일,1990,28.3
21일,1990,25.7
22일,1990,28.7
23일,1990,26.7
24일,1990,26.6
25일,1990,29.0
26일,1990,28.9
27일,1990,29.3
28일,1990,32.0
29일,1990,34.2
2일,1990,21.2
30일,1990,33.5
31일,1990,33.2
3일,1990,22.3
4일,1990,26.3
5일,1990,28.6
6일,1990,27.8
7일,1990,29.6
8일,1990,31.3
9일,1990,32.3
10일,1991,27.6
11일,1991,25.2
12일,1991,29.4
13일,1991,29.1
14일,1991,29.1
15일,1991,24.5
16일,1991,26.7
17일,1991,28.6
18일,1991,30.3
19일,1991,27.4
1일,1991,24.6
20일,1991,25.9
21일,1991,25.9
22일,1991,27.3
23일,1991,27.9
24일,1991,25.7
25일,1991,24.4
26일,1991,27.0
27일,1991,29.5
28일,1991,32.0
29일,1991,30.3
2일,1991,29.5
30일,1991,27.7
31일,1991,29.5
3일,1991,30.8
4일,1991,31.2
5일,1991,29.9
6일,1991,29.6
7일,1991,25.6
8일,1991,25.7
9일,1991,24.5
10일,1992,25.9
11일,1992,22.7
12일,1992,27.4
13일,1992,28.2
14일,1992,28.6
15일,1992,28.1
16일,1992,28.8
17일,1992,24.4
18일,1992,28.9
19일,1992,31.5
1일,1992,27.5
20일,1992,28.8
21일,1992,28.1
22일,1992,26.3
23일,1992,30.3
24일,1992,30.0
25일,1992,29.0
26일,1992,30.1
27일,1992,26.1
28일,1992,30.3
29일,1992,30.6
2일,1992,25.4
30일,1992,26.5
31일,1992,29.4
3일,1992,22.5
4일,1992,28.3
5일,1992,31.3
6일,1992,32.4
7일,1992,30.6
8일,1992,31.5
9일,1992,30.3
10일,1993,29.5
11일,1993,25.0
12일,1993,24.9
13일,1993,23.9
14일,1993,30.1
15일,1993,29.9
